index,Institute,InstituteCountry,ResearchInstitution,InstituteNumber
62,Departement Biomedizin Universität Basel,Switzerland,University of Basel - BS,I63
63,Department of Mathematics Johns Hopkins University,United States of America,Institution abroad - United States of America,I64
64,"UNI: Princeton University   Princeton, NY US A",United States of America,Institution abroad - United States of America,I65
65,Département de Philosophie Université de Genève,Switzerland,University of Geneva - GE,I66
66,MRC Mitochondrial Biology Unit University of Cambridge,Great Britain and Northern Ireland,Institution abroad - Great Britain and Northern Ireland,I67
67,Département de Physique de la Matière Condensée Université de Genève,Switzerland,University of Geneva - GE,I68
68,Persson Lab School of Biosciences University of Melbourne,Australia,Institution abroad - Australia,I69
69,Laboratorium für Organische Chemie ETH Zürich,Switzerland,ETH Zurich - ETHZ,I70
70,Institut für Geologie Universität Bern,Switzerland,University of Berne - BE,I71
71,UNI: University of British Columbia   Vancou ver CDN,Canada,Institution abroad - Canada,I72
72,Musikwissenschaftliches Institut Universität Zürich,Switzerland,University of Zurich - ZH,I73
73,Department for BioMedical Research Inselspital Bern Universität Bern,Switzerland,University of Berne - BE,I74
74,Clinique Universitaire de pédiatrie et de génétique Hôpital Cantonal Universitaire,Switzerland,University of Geneva - GE,I75
75,Psychologisches Institut Universität Heidelberg,Germany,Institution abroad - Germany,I76
76,UNI: London GB,Great Britain and Northern Ireland,Institution abroad - Great Britain and Northern Ireland,I77
77,Laboratoire de génie de la réaction chimique EPFL - SB - ISIC - LGRC,Switzerland,EPF Lausanne - EPFL,I78
78,UNI: MRC Laboratory of Molecular Bi   Cam- G B,Great Britain and Northern Ireland,Institution abroad - Great Britain and Northern Ireland,I79
79,Abteilung für Klinische Physiologie Klinik für Herz-& Thoraxchirurgie Universitätskliniken Basel,Switzerland,University of Basel - BS,I80
80,UNI: University of Notre Dame Dept. of Econo mics  Indiana USA,United States of America,Institution abroad - United States of America,I81
81,Institut für Iberoromanistik Universität Basel,Switzerland,University of Basel - BS,I82
82,Séminaire de Liturgie Université de Fribourg,Switzerland,University of Fribourg - FR,I83
83,Institut für Hygiene und Mikrobiologie der Universität,Switzerland,University of Berne - BE,I84
84,Französisches Etymologisches Wörterbuch,France,"Non-profit organisations (libraries, museums, foundations) and administration - NPO",I85
85,Zürcher Hochschule Institute of Natural Resource Sciences Zurich University of Applied Sciences,Switzerland,Zurich University of Applied Sciences - ZHAW,I86
86,Institute of Social and Preventive Medicine University of Bern,Switzerland,University of Berne - BE,I87
87,Biotechnologie Technologies du vivant Haute Ecole Spécialisée de Suisse occident.,Switzerland,University of Applied Sciences and Arts Western Switzerland - HES-SO,I88
88,Institut für Evolutionsbiologie und Umweltwissenschaften Universität Zürich,Switzerland,University of Zurich - ZH,I89
89,Department of Chemistry Massachusetts Institute of Technology,United States of America,Institution abroad - United States of America,I90
90,Kunsthistorisches Seminar Universität Basel,Switzerland,University of Basel - BS,I91
91,Englisches Seminar Universität Basel,Switzerland,University of Basel - BS,I92
92,Institute for Rock Magnetism  University of Minnesota,United States of America,Institution abroad - United States of America,I93
93,Historisches Seminar Universität Zürich,Switzerland,University of Zurich - ZH,I94
94,UNI: University of Leeds   Leeds GB,Great Britain and Northern Ireland,Institution abroad - Great Britain and Northern Ireland,I95
95,Institut für Teilchen- und Astrophysik ETH Zürich,Switzerland,ETH Zurich - ETHZ,I96
96,Schweizerisches Institut für Allergie- und Asthmaforschung,Switzerland,Swiss Institute of Allergy and Asthma Research - SIAF,I97
97,Laboratoire de Psycholinguistique  Université de Genève,Switzerland,University of Geneva - GE,I98
98,Paläontologisches Institut und Museum Universität Zürich,Switzerland,,I99
99,Stadtarchiv Vadiana,Switzerland,"Non-profit organisations (libraries, museums, foundations) and administration - NPO",I100
100,Institut de sociologie et de sciences politiques Université de Neuchâtel,Switzerland,University of Neuchatel - NE,I101
101,Hämostase- Hämatologielabor Departement Zentrallaboratorium Universitätsspital Basel,Switzerland,University of Basel - BS,I102
102,Mittellateinische Bibliothek Universität Zürich,Switzerland,University of Zurich - ZH,I103
103,Theologische Fakultät Universität Bern,Switzerland,University of Berne - BE,I104
104,Geographisches Institut Universität Bern,Switzerland,University of Berne - BE,I105
105,"Wirtschaftswissenschaftliches Zentrum, WWZ Universität Basel",Switzerland,University of Basel - BS,I106
106,Département de Biologie Faculté des Sciences Université de Fribourg,Switzerland,University of Fribourg - FR,I107
107,London School of Economics and Political Science,Great Britain and Northern Ireland,Institution abroad - Great Britain and Northern Ireland,I108
108,Abteilung Innenarchitektur IN3 Hochschule für Gestaltung und Kunst HGK-Basel,Switzerland,University of Applied Sciences and Arts Northwestern Switzerland (without UTE) - FHNW,I109
109,Institut für Geochemie und Petrologie ETH Zürich,Switzerland,ETH Zurich - ETHZ,I110
110,Institut du monde antique et byzantin Faculté des lettres Université de Fribourg,Switzerland,University of Fribourg - FR,I111
111,Institut für Biomedizinische Technik Universität Zürich und ETHZ,Switzerland,ETH Zurich - ETHZ,I112
112,FHS St. Gallen Hochschule für angewandte Wissenschaften,Switzerland,Eastern Switzerland University of Applied Sciences - OST,I113
113,Physikalische Chemie Departement Chemie Universität Basel,Switzerland,University of Basel - BS,I114
114,"Klinik und Poliklinik für Kardiologie Departement Herz und Gefässe Universitätsklinik, Inselspital",Switzerland,University of Berne - BE,I115
115,Département des sciences de la Terre Université de Genève,Switzerland,University of Geneva - GE,I116
116,Abteilung für Klinische Forschung Dept. für klinische Veterinärmedizin Universität Bern,Switzerland,University of Berne - BE,I117
117,Dipartimento di storia e geografia Università di Firenze,Italy,University of Geneva - GE,I118
118,Institut Stratège Ecole des Hautes Etudes Commerciales HEC Université de Lausanne,Switzerland,University of Lausanne - LA,I119
119,Service de Pneumologie Departement de Medecin CHUV,Switzerland,University of Lausanne - LA,I120
120,Institut de Théologie morale Université de Fribourg,Switzerland,University of Fribourg - FR,I121
121,Ägyptologisches Seminar Universität Basel,Switzerland,University of Basel - BS,I122
122,UNI: Klinika Chorob Wewnetrznych i Diabetolg ii Szpital Brodnowski Warszawa PL,Poland,University of Geneva - GE,I123
123,UNI: Argonne National Laboratory Materials S cience Division  Argonne USA,United States of America,Institution abroad - United States of America,I124
124,Eidg. Materialprüfungs- und Forschungsanstalt (EMPA),Switzerland,Swiss Federal Laboratories for Materials Science and Technology - EMPA,I125
125,Dept. of Medicine Swiss TPH,Switzerland,,I126
126,"Institut des infrastructures, des ressources et de l'environnement EPFL - ENAC - ICARE",Switzerland,EPF Lausanne - EPFL,I127
127,"UPRESA 8052 Département d'Histoire Université de Paris 1, Panthéon-Sorbonne",France,University of Zurich - ZH,I128
128,Psychologisches Institut Universität Zürich,Switzerland,University of Zurich - ZH,I129
129,UNI: Colorado State Univer-    USA,United States of America,Institution abroad - United States of America,I130
130,UNI: University of California Mental retarda tion research center  Los Angeles USA,United States of America,Institution abroad - United States of America,I131
131,Physikalisch-Meteorologisches Observatorium Davos und Weltstrahlungszentrum,Switzerland,Physikal.-Meteorolog. Observatorium Davos - PMOD,I132
132,Zytogenetisches Diagnostik-& Forschungslabor Institut für Medizinische Genetik der Universität Zürich,Switzerland,University of Zurich - ZH,I133
133,Université de Lausanne  à l'att. de Mme Thierrin,Switzerland,Institution abroad - Switzerland,I134
134,Hôpitaux Universitaires de Genève Service d' Informatique Medicale,Switzerland,University of Geneva - GE,I135
135,General Energy Research Department Paul Scherrer Institut (PSI),Switzerland,Paul Scherrer Institute - PSI,I136
136,Laboratoire de la construction métallique EPFL - ENAC - IIC - RESSLab,Switzerland,EPF Lausanne - EPFL,I137
137,Institut de Microbiologie Faculté de Biologie et Médecine CHUV/Université de Lausanne,Switzerland,University of Lausanne - LA,I138
138,Institut für Quantenelektronik ETH Zürich,Switzerland,ETH Zurich - ETHZ,I139
139,Département de sociologie et des médias Université de Fribourg,Switzerland,University of Fribourg - FR,I140
140,Friedrich Miescher Institute for Biomedical Research,Switzerland,Institute Friedrich Miescher - FMI,I141
141,OMI Medicine University of Fribourg,Switzerland,,I142
142,Institut für mathematische Statistik und Versicherungslehre Universität Bern,Switzerland,University of Berne - BE,I143
143,Institut für Anorganische Chemie Universität Basel,Switzerland,University of Basel - BS,I144
