GrantNumber,DisciplineNumber
G61359,D30808
G182719,D30707
G182719,D30811
G108527,D20301
G8360,D30202
G193395,D10202
G147402,D10102
G147402,D10201
G147402,D10202
G147402,D10301
G147402,D10403
G185202,D10203
G567,D10105
G164993,D20505
G164993,D30710
G147657,D10404
G147657,D10502
G172373,D10203
G172373,D20509
G4439,D20402
G4439,D20403
G188999,D10101
G188999,D10202
G108661,D10104
G108661,D10607
G165960,D30403
G165960,D30707
G132566,D30303
G42401,D30207
G20585,D10502
G51572,D20404
G122507,D10603
G186595,D10104
G186595,D10105
G9513,D30703
G5472,D20404
G106932,D10204
G160106,D30401
G190735,D20301
G190735,D20404
G190735,D20505
G190735,D20507
G123321,D30101
G123321,D30102
G123321,D30103
G123321,D30107
G123321,D30808
G134353,D20301
G58551,D10204
G63749,D20401
G52654,D10401
G29300,D10205
G109853,D10601
G136476,D10203
G136476,D10204
G136476,D10302
G67486,D20200
G186506,D20303
G108964,D20100
G108964,D20401
G9553,D30806
G192553,D10203
G118079,D30401
G6156,D30403
G25869,D10101
G46557,D10404
G4556,D20301
G29062,D20100
G154634,D30808
G154634,D30812
G113614,D20200
G165707,D10207
G165707,D10301
G116737,D20403
G111151,D20301
G111151,D20505
G111151,D20507
G61180,D10404
G61180,D10407
G54012,D30108
G125901,D10204
G125901,D20501
G42924,D10404
G179017,D20409
G179017,D20511
G179017,D20709
G179017,D20801
G179017,D20809
G148826,D20100
G148826,D30102
G149420,D30302
G149420,D30403
G118468,D30102
G118468,D30103
G118468,D30303
G56051,D30801
G208326,D10602
G208326,D30904
G4233,D20805
G188010,D20100
G6778,D30104
G7054,D30715
G7054,D30717
G5125,D20402
G5125,D20403
G142816,D10203
G142816,D10301
G109916,D30714
G160703,D30107
G160703,D30307
G101640,D20303
G2364,D10502
G122408,D30207
G789,D10205
G180723,D20506
G41742,D10303
G121359,D20502
G121359,D20505
G121359,D20507
G40505,D10104
G66761,D20508
G165856,D20304
G44777,D10203
G147552,D10101
G7220,D30304
G50275,D10205
G67872,D20404
G65416,D30304
G110509,D20304
G113081,D20504
G104890,D10105
G104890,D10201
G104890,D30104
G104890,D30305
G104890,D30306
G104890,D30708
G104890,D30720
G104890,D30802
G117372,D20405
G117372,D20502
G200463,D20200
G158761,D20304
G199869,D10301
G171919,D10501
G171919,D10502
G171919,D10503
G51939,D30704
G142690,D30206
G142690,D30207
G65095,D20511
G111433,D20511
G111433,D30105
G162274,D20809
G153949,D20511
G57496,D20304
G120187,D20504
G120187,D20508
G168607,D20304
G168607,D30101
G182832,D30707
G38274,D20704
G38274,D20705
G193023,D10201
G193023,D10301
G141406,D30707
G141406,D30715
G63077,D10105
G137813,D10302
G137813,D10604
G161581,D10301
G121777,D30202
G121777,D30206
G121777,D30207
G129491,D20705
G129491,D20709
G129491,D20803
G129491,D20809
G129491,D30107
G129491,D30206
G129491,D30207
G148333,D10201
G39729,D30304
G149253,D20304
G41263,D20301
G44182,D10205
G136104,D10407
G100175,D30307
G104217,D30808
G173959,D30401
G46121,D30102
G144544,D10404
G124300,D10404
G124300,D10407
G129495,D20506
G5349,D20705
G149006,D10103
G149006,D10301
G149006,D10303
G149006,D10403
G149006,D10503
G178894,D20506
G2165,D10402
G138282,D30102
G138282,D30104
G138282,D30201
G107964,D20403
G152824,D20100
G152824,D20511
G152824,D20703
G165670,D20511
G165670,D30714
G192186,D20501
G192186,D20505
G105660,D20709
G7089,D30702
G7089,D30714
G160113,D20508
G66882,D20301
G122034,D30718
G111695,D10301
G131095,D10105
G68020,D20801
G206698,D10404
G206698,D10603
G147425,D10404
G208222,D20401
G208222,D20403
G37367,D20100
G109009,D30207
G63525,D20401
G43627,D20403
G100578,D30302
G166213,D20501
G166213,D20502
G155940,D30101
G155940,D30102
G101954,D20200
G155739,D10102
G27538,D30703
G5553,D20301
G137305,D20100
G128985,D10502
G181754,D10301
G181754,D10302
G28164,D30307
G3493,D20806
G32533,D30108
G130769,D30103
G130769,D30302
G130769,D30402
G130769,D30707
G43852,D10203
G1096,D10303
G28004,D20506
G39289,D20404
G127519,D10202
G154375,D10501
G27579,D30708
G156863,D20100
G156863,D30302
G186532,D30202
G186532,D30206
G186532,D30207
G296,D10401
G37689,D20801
G118989,D20709
G167560,D10201
G167560,D10302
G127143,D20506
G111810,D20506
G180226,D20505
G108125,D10601
G8236,D30302
G163505,D10104
G163505,D10201
G163505,D10403
G198905,D20409
G186635,D10102
G186635,D10301
G186635,D10503
G143129,D10204
G42037,D20100
G46864,D10302
G38671,D30108
G62066,D30107
G42596,D10205
G42009,D30407
G195688,D20501
G180718,D10301
G31276,D20506
G49206,D10101
G44060,D20301
G52071,D10302
G69366,D30718
G69366,D30809
G130481,D30305
G128666,D30402
G128666,D30403
G136937,D10105
G136937,D30708
G176968,D30302
G189179,D30307
G189179,D30808
G7562,D30201
G193064,D30701
G184213,D20100
G184213,D30108
G747,D10201
G7098,D30701
G7098,D30704
G106143,D10101
G151757,D30108
G202389,D20404
G118218,D10201
G64202,D10203
G64202,D10205
G117605,D20303
G117605,D20505
G28300,D10302
G165682,D20802
G165682,D20803
G27610,D10102
G65786,D10104
G44273,D20303
G27087,D10203
G131047,D10105
G180520,D10205
G180520,D10301
G69062,D10201
G69062,D10403
G69062,D10407
G32528,D20200
G35166,D20709
G179971,D10203
G179971,D10205
G5455,D20301
G34242,D20303
G130359,D20200
G130359,D20506
G102287,D10203
G102287,D10302
G107165,D20511
G107165,D20709
G161641,D30401
G117287,D30101
G117287,D30103
G117287,D30107
G117287,D30403
G170002,D10101
G170002,D10105
G170002,D10201
G170002,D10501
G170002,D10605
G170002,D30204
G170002,D30207
G170002,D30906
G116922,D20404
G116922,D30108
G67569,D10201
G65047,D20304
G40484,D30302
G29324,D10202
G26149,D30407
G2966,D20100
G158621,D20501
G158621,D20505
G158621,D20709
G9006,D30715
G113412,D20401
G113412,D20506
G167213,D20506
G149291,D20502
G174902,D10201
G174902,D10202
G185932,D30702
G156196,D10204
G10763,D30911
G32795,D20404
G61026,D20501
G15136,D10402
G152786,D10102
G50241,D10301
G8378,D30306
G10270,D10000
G10270,D10205
G180491,D10501
G180491,D10502
G180491,D10503
G180491,D10607
G163117,D20506
G126405,D20506
G145106,D10104
G145106,D10201
G145106,D10406
G52439,D20506
G153091,D20705
G153091,D20709
G153091,D20803
G25605,D20304
G4680,D20404
G7283,D30307
G166296,D20200
G203937,D10201
G203937,D10301
G203937,D10403
G186720,D20404
G186720,D20409
G186720,D20705
G186720,D20802
G186720,D20809
G157191,D20504
G157191,D20506
G157191,D20511
G164219,D30102
G164219,D30103
G164219,D30104
G63625,D30812
G184122,D10202
G40392,D20304
G110168,D10404
G143212,D20501
G143212,D20502
G143212,D20504
G39131,D20301
G151082,D10404
G172397,D10203
G172397,D10605
G1408,D10104
G36598,D30717
G6952,D30202
G114763,D20803
G1076,D10204
G919,D10502
G116375,D20406
G146790,D30402
G198013,D30911
G168883,D20200
G149353,D30101
G149353,D30102
G67173,D30704
G55837,D10205
G126171,D10205
G126171,D10301
G126171,D10302
G7027,D30305
G7027,D30306
G101416,D10502
G149713,D20404
G29619,D20705
G123248,D10104
G123248,D10105
G150814,D30108
G150444,D10502
G146618,D20506
G131395,D10301
G137466,D10204
G110873,D20404
G110873,D20405
G147141,D20409
G147141,D30108
G147141,D30305
G147141,D30402
G171161,D10102
G171161,D10303
G143283,D20301
G143283,D20505
G143283,D30107
G158181,D10101
G32354,D20100
G129071,D10404
G154092,D10502
G185538,D10203
G117568,D20701
G59219,D20304
G59219,D30401
G8322,D30104
G105124,D20505
G66210,D10203
G177667,D10105
G151677,D10301
G151677,D10302
G45472,D30301
G45472,D30710
G144417,D20301
G144417,D20304
G144417,D20409
G144417,D20505
G122436,D30104
G135068,D10503
G158990,D10105
G36267,D30203
G143932,D30102
G143932,D30103
G143932,D30104
G143932,D30105
G43043,D30302
G43043,D30708
G156489,D10301
G156489,D10502
G150742,D10205
G150742,D20304
G107824,D20506
G9223,D30101
G102514,D20802
G36421,D20100
G69015,D10104
G69015,D10105
G69015,D10201
G112902,D10501
G175576,D30102
G175576,D30403
G135913,D30301
G135913,D30810
G140610,D10402
G140610,D10603
G53463,D10201
G188055,D10102
G109013,D20506
G52445,D30701
G52445,D30802
G41923,D20404
G67394,D20304
G4307,D20304
G165373,D10105
G165373,D30802
G173132,D30107
G173132,D30403
G186614,D10301
G186614,D10302
G158773,D30101
G158773,D30102
G158773,D30104
G158773,D30201
G100254,D20709
G157530,D30701
G157530,D30811
G140395,D10202
G140395,D20709
G5171,D20505
G139414,D10403
G28027,D20304
G165993,D20511
G27558,D10404
G39774,D30708
G39774,D30905
G4624,D20805
G193901,D30101
G66311,D30305
G134096,D10101
G134096,D10105
G134096,D10207
G134096,D10501
G134096,D10502
G134096,D10503
G100135,D30104
G158735,D10104
G158735,D10105
G6275,D30206
G192902,D10105
G131819,D10301
G33409,D30403
G132102,D20404
G182615,D30303
G182615,D30714
G191182,D20501
G64294,D30102
G105612,D20701
G57263,D10201
G20612,D30715
G1426,D10204
G34027,D30102
G46910,D20404
G144072,D30403
G144072,D30705
G191147,D10205
G159265,D10203
G159265,D10204
G159265,D20506
G164289,D30101
G100338,D20200
G118504,D30302
G42262,D20702
G119507,D10203
G7216,D30302
G7216,D30306
G105966,D20100
G105966,D30302
G206597,D30203
G116726,D20403
G25577,D20304
G66256,D30107
G140973,D20501
G6526,D30302
G161571,D20502
G161571,D20505
G29303,D30207
G163170,D20100
G138238,D20701
G138238,D30205
G138238,D30206
G154855,D20502
G154855,D30714
G154855,D30809
G162668,D20703
G162668,D20704
G159260,D10201
G159260,D10601
G129588,D20303
G129588,D20402
G145640,D10402
G151068,D10501
G151068,D10603
G141434,D30207
G191542,D10205
G206547,D10201
G118721,D10501
G118721,D10502
G36377,D20503
G108733,D10301
G108733,D10302
G108733,D10404
G108733,D10407
G57685,D10404
G145565,D10105
G45921,D30104
G41686,D10406
G159314,D20504
G159314,D20508
G112225,D20304
G5662,D30105
G5662,D30202
G116287,D20506
G42382,D20803
G103659,D20301
G179545,D10407
G199766,D10301
G199766,D10302
G199766,D10404
G199766,D30202
G6976,D30101
G161228,D10405
G161228,D10502
G152522,D10203
G152522,D20501
G105513,D10402
G4762,D20706
G152404,D20303
G152404,D20404
G63897,D20200
G111038,D20404
G111038,D20505
G111038,D20508
G125655,D10201
G130187,D10102
G5204,D20505
G7632,D30701
G7632,D30704
G134864,D20704
G134864,D20803
G134864,D30206
G53787,D20801
G127240,D10602
G129895,D30103
G2037,D10302
G65598,D20404
G122434,D20100
G122434,D20506
G122434,D30201
G122434,D30205
G122434,D30206
G122434,D30207
G27586,D10205
G162630,D20200
G105079,D20506
G105079,D30102
G105079,D30104
G143674,D30717
G113737,D20701
G5608,D20100
G58867,D20803
G108457,D30207
G163687,D10301
G163687,D10503
G6558,D30907
G36266,D30302
G110507,D20404
G110507,D20504
G110507,D20508
G196105,D20404
G196105,D20505
G182154,D10205
G46410,D10202
G158870,D20511
G158870,D30403
G36980,D30812
G173418,D10105
G173418,D30803
G173418,D30812
G173418,D30912
G207295,D20506
G121859,D20709
G190369,D30102
G190369,D30306
G144996,D30101
G144996,D30103
G144996,D30306
G144996,D30407
G144996,D30704
G118045,D20805
G9142,D30401
G168818,D10201
G168818,D10206
G49247,D20506
G1709,D10105
G452,D10201
G6141,D30304
G207000,D10201
G207000,D10202
G103530,D20505
G53568,D20301
G9218,D30107
G170760,D20404
G43168,D10302
G7378,D30713
G129931,D20505
G105881,D30107
G67120,D30402
G638,D10402
G137942,D20806
G137942,D20809
G9251,D30715
G27733,D30101
G115057,D30101
G115057,D30102
G115057,D30103
G115057,D30104
G115057,D30105
G115057,D30106
G115057,D30201
G7153,D30401
G52247,D30403
G32224,D10302
G15249,D10201
G133710,D30302
G50546,D20704
G177658,D10104
G177658,D10201
G177658,D10601
G177658,D10602
G149194,D10201
G42225,D10204
G121546,D20304
G170263,D10105
G170263,D30802
G115322,D20301
G61179,D30105
G61600,D30103
G205382,D10105
G119890,D10205
G155659,D20304
G155659,D20505
G117934,D20304
G129410,D20502
G129410,D20504
G129410,D20505
G129410,D20506
G190288,D30104
G190288,D30201
G190288,D30203
G190288,D30205
G190288,D30207
G167544,D10201
G167544,D10202
G167544,D10203
G167544,D10206
G167544,D10403
G167544,D10407
G167544,D10601
G167544,D20709
G167544,D30206
G167544,D30207
G167544,D30911
G161893,D30707
G161893,D30716
G102212,D30103
G102212,D30401
G102212,D30705
G111796,D30202
G111796,D30207
G128653,D20506
G128653,D20508
G150741,D20501
G42787,D30302
G45851,D30401
G100603,D20403
G9279,D30715
G9279,D30717
G145768,D30809
G9566,D30806
G107562,D20403
G113005,D20303
G113005,D20304
G113005,D30101
G152893,D10203
G188017,D30302
G170996,D10205
G144616,D20505
G47899,D10105
G145940,D30102
G171199,D10502
G171199,D10604
G154510,D10203
G154510,D10301
G154510,D10402
G154510,D10404
G154510,D20704
G6280,D30104
G25996,D30103
G147496,D30102
G55757,D20501
G39427,D30707
G39427,D30716
G28228,D10201
G156827,D10105
G156827,D30207
G35864,D10202
G33737,D10102
G67847,D10301
G127130,D20100
G134617,D20303
G134617,D20806
G38,D10403
G66967,D10201
G171610,D10302
G171610,D20705
G37408,D30302
G2153,D10205
G2781,D20301
G186191,D10105
G66446,D10302
G149786,D30402
G149786,D30702
G108100,D30207
G201045,D30713
G201045,D30808
G200206,D10204
G164851,D10201
G33993,D30401
G112796,D30102
G112796,D30104
G112796,D30105
G159881,D20301
G159881,D20303
G116703,D10501
G66765,D30401
G47091,D20709
G134213,D30403
G47332,D10502
G7173,D30103
G144423,D10301
G47773,D10105
G196933,D30101
G203733,D10404
G163951,D10105
G163951,D30302
G55416,D20506
G5293,D20404
G119651,D20502
G42791,D10104
G26233,D10202
G186913,D10105
G3595,D20304
G180095,D20801
G180095,D20803
G180095,D20806
G180095,D20809
G135066,D20504
G135066,D20506
G190080,D20200
G165559,D20404
G165559,D20505
G165559,D20508
G179310,D30102
G179310,D30107
G179310,D30201
G39114,D20401
G15177,D30302
G110830,D30201
G110830,D30207
G184656,D20100
G184656,D20506
G39516,D20506
G40845,D20200
G40845,D20401
G26396,D30302
G140868,D30306
G140868,D30809
G30203,D30909
G169552,D20705
G169552,D20803
G8253,D30304
G8253,D30716
G36131,D20301
G181969,D30104
G181969,D30107
G181969,D30202
G181969,D30207
G140717,D20511
G140717,D30101
G140717,D30102
G140717,D30103
G140717,D30302
G140717,D30702
G140717,D30713
G37891,D30107
G136693,D10407
G157207,D20506
G157207,D30714
G159740,D30708
G102442,D10503
G179748,D20401
G103736,D10402
G169880,D20802
G127736,D10404
G64513,D10501
G550,D10203
G115604,D30205
G115604,D30206
G115604,D30207
G33978,D10105
G47226,D10204
G185298,D30707
G185298,D30708
G3787,D20705
G49562,D20801
G38162,D10202
G159180,D20303
G63733,D20511
G117381,D20503
G39119,D30104
G121780,D20506
G7058,D30715
G7058,D30806
G132245,D20508
G132245,D20511
G132245,D30302
G132245,D30714
G47172,D20504
G185908,D10202
G149554,D10201
G149554,D10202
G149554,D10302
G128910,D30104
G10850,D20505
G111508,D10203
G53545,D20304
G195068,D10203
G112668,D30303
G112668,D30714
G179504,D30403
G179504,D30702
G164635,D20805
G121430,D10501
G189151,D30101
G5259,D20401
G202376,D10201
G202376,D10202
G146823,D20409
G162985,D30303
G63902,D10101
G150775,D20405
G150775,D20502
G150775,D20503
G150775,D20507
G150775,D20511
G147201,D20303
G147201,D20404
G171740,D30805
G171740,D30911
G179273,D30306
G179273,D30808
G37911,D30107
G157173,D20709
G113017,D20409
G33711,D20506
G120689,D30803
G7057,D30702
G7057,D30703
G65852,D30102
G114479,D10102
G114479,D10207
G114479,D10403
G114479,D10406
G114479,D10501
G9364,D30909
G9364,D30912
G194039,D10201
G194039,D10403
G138083,D20504
G138083,D20506
G181258,D10201
G181258,D10202
G35138,D30403
G111476,D10102
G111476,D10501
G67788,D30103
G142912,D20802
G26871,D30407
G111699,D20709
G109455,D10406
G58250,D10202
G191872,D20404
G43966,D20401
G197003,D30101
G197003,D30102
G197003,D30103
G197003,D30104
G183856,D20803
G55035,D30102
G174491,D10301
G33361,D30102
G28126,D10203
G186479,D10202
G186479,D10203
G149589,D20706
G149589,D20805
G44418,D10303
G116587,D30401
G110554,D10401
G110554,D20704
G110554,D20803
G110554,D20804
G160330,D30403
G143184,D10501
G143184,D10502
G139563,D20301
G139563,D20303
G139563,D20507
G34888,D10301
G40795,D10105
G127810,D20801
G127810,D20802
G127810,D20803
G144352,D20403
G43280,D30108
G43280,D30302
G172433,D10203
G172433,D10204
G172433,D20509
G6247,D30403
G140243,D20501
G140243,D20505
G2113,D10402
G189570,D10607
G204446,D10206
G204446,D20709
G140795,D10404
G183723,D20100
G183723,D20506
G183723,D30102
G183723,D30104
G183723,D30202
G183723,D30812
G107447,D10401
G132966,D10203
G132966,D10204
G137972,D10201
G137972,D10407
G177319,D30805
G177319,D30911
G150636,D20303
G10847,D20505
G9227,D30103
G112092,D30102
G190734,D20403
G125060,D30202
G8458,D30403
G163072,D20100
G64612,D10201
G9215,D30104
G2848,D20405
G120738,D10404
G162368,D10503
G101979,D20403
G186607,D30207
G28310,D30302
G111784,D20709
G111784,D30206
G36746,D20304
G186856,D20709
G2391,D10102
G102133,D30302
G102133,D30708
G163336,D30102
G163336,D30103
G173399,D10105
G173399,D10203
G150058,D20304
G150058,D30101
G191659,D30104
G191659,D30202
G39472,D10201
G113857,D10105
G15380,D10204
G43032,D10101
G46748,D10103
G68364,D10302
G42982,D10501
G184227,D30102
G184227,D30401
G210261,D20701
G210261,D20709
G30678,D20401
G147127,D20703
G147127,D20704
G147268,D10203
G147268,D10204
G50682,D10101
G153084,D10207
G153084,D10301
G111571,D30103
G20326,D30307
G30136,D10101
G131772,D10101
G131772,D10105
G146734,D20506
G173342,D30207
G128739,D20501
G128739,D20506
G146109,D10201
G146109,D10403
G168881,D20304
G135422,D10204
G63171,D30207
G198654,D20505
G143980,D30401
G133536,D30102
G115396,D30103
G6714,D30302
G116868,D20304
G10722,D10000
G59204,D30305
G168369,D10301
G9206,D30101
G113808,D20506
G144011,D30201
G144011,D30207
G67599,D10501
G164126,D10201
G102108,D30101
G102108,D30402
G148043,D20301
G148043,D20304
G182855,D30302
G189077,D30708
G189077,D30715
G195035,D20301
G195035,D20505
G170168,D10205
G40631,D20506
G200882,D20405
G200882,D20409
G142707,D10104
G142707,D10202
G197603,D30302
G197603,D30306
G167733,D10105
G167733,D30302
G167733,D30708
G118012,D10206
G1310,D10101
G192574,D30715
G192574,D30717
G192574,D30806
G170721,D20501
G170721,D20505
G2354,D10105
G165137,D20504
G165137,D20506
G40480,D30306
G72,D10501
G25724,D30401
G194025,D30302
G137568,D20801
G137568,D20805
G137568,D20809
G37606,D10206
G20138,D30104
G125317,D20100
G114813,D30708
G4384,D20404
G56581,D30102
G110748,D20200
G110748,D20801
G110748,D20802
G207965,D30102
G207965,D30707
G4746,D20701
G48723,D10204
G48723,D10206
G202920,D10201
G49794,D20506
G8490,D30102
G202764,D10502
G137420,D10102
G137420,D10103
G137420,D10205
G137420,D10302
G143477,D30708
G143477,D30802
G54950,D30405
G149793,D30302
G132675,D10205
G132675,D10206
G142747,D30103
G199187,D30202
G199187,D30203
G149120,D20801
G149120,D20805
G4573,D20304
G64360,D20509
G177499,D30102
G177499,D30103
G177499,D30104
G177499,D30107
G177499,D30306
G177499,D30307
G177499,D30403
G177499,D30405
G177499,D30407
G177499,D30701
G177499,D30703
G177499,D30704
G177499,D30706
G177499,D30707
G177499,D30708
G177499,D30715
G177499,D30716
G177499,D30717
G177499,D30718
G177499,D30719
G177499,D30802
G177499,D30803
G177499,D30805
G177499,D30806
G177499,D30807
G177499,D30808
G177499,D30809
G177499,D30812
G177499,D30903
G177499,D30912
G203840,D30302
G128924,D10104
G128924,D10105
G128924,D10201
G128924,D10202
G128924,D10203
G128924,D10206
G128924,D10207
G128924,D10403
G128924,D10601
G128924,D30903
G128924,D30904
G10310,D20505
G195375,D20706
G195375,D30207
G157726,D20505
G157726,D20508
G46484,D10502
G10944,D10205
G10944,D20501
G144496,D20501
G144496,D20506
G29580,D30101
G206761,D30102
G206761,D30305
G116669,D20503
G148983,D10101
G148983,D10102
G148983,D10503
G43078,D10501
G191568,D10303
G191568,D10402
G20174,D20509
G2322,D10103
G43755,D10101
G151115,D30302
G15128,D10101
G8761,D30307
G123115,D30812
G123115,D30911
G171552,D10301
G171552,D10302
G134054,D10101
G172163,D20404
G172163,D20508
G44577,D20502
G44577,D20507
G134413,D30101
G134413,D30201
G134413,D30202
G134413,D30205
G134413,D30207
G194856,D20409
G56333,D10104
G56333,D10201
G107916,D20404
G119730,D10201
G203653,D10203
G126184,D10301
G43903,D10402
G186704,D30102
G49235,D20301
G39743,D30718
G10384,D10202
G184795,D30102
G184795,D30104
G184795,D30105
G184795,D30302
G184795,D30710
G110030,D30304
G110030,D30403
G200703,D30302
G200703,D30708
G200703,D30715
G111457,D30102
G115821,D20303
G115821,D20304
G9209,D30104
G197619,D30101
G197619,D30306
G197619,D30403
G176683,D10605
G199749,D20506
G52361,D10102
G134148,D20709
G134148,D30207
G143550,D20303
G20791,D30102
G146481,D30303
G146481,D30305
G146481,D30402
G146481,D30715
G146481,D30801
G146481,D30806
G146481,D30811
G146481,D30905
G171013,D10301
G52624,D10302
G1864,D10205
G140985,D20100
G140985,D20401
G35600,D30102
G150760,D20304
G150760,D30108
G150760,D30306
G29203,D30101
G135615,D30105
G152006,D10206
G39447,D10101
G107019,D10404
G109162,D20401
G109505,D10205
G147387,D10201
G147387,D10301
G109035,D30101
G168398,D10104
G168398,D10201
G168398,D10301
G168398,D10302
G135985,D30104
G135985,D30202
G135985,D30207
G114707,D10501
G114707,D10502
G114707,D10503
G8875,D30108
G201482,D20805
G101200,D10601
G38603,D30303
G109352,D30704
G581,D10203
G100233,D30403
G117804,D20506
G66624,D20506
G109871,D30302
G152361,D30401
G152361,D30703
G156540,D10105
G156540,D30903
G156540,D30905
G25881,D30206
G37519,D20303
G37519,D20705
G190837,D20802
G207952,D20701
G207952,D30107
G207952,D30201
G207952,D30205
G207952,D30206
G207952,D30207
G203694,D20511
G206150,D30102
G206150,D30103
G206150,D30104
G206150,D30105
G122044,D20404
G101777,D20801
G33999,D10501
G122509,D10407
G27446,D10102
G528,D10205
G1501,D10301
G49246,D30201
G154263,D10301
G154263,D20801
G170063,D30307
G170063,D30712
G170063,D30713
G170063,D30808
G102118,D30302
G206646,D10301
G100794,D30812
G100794,D30912
G205436,D10204
G205436,D20511
G56711,D30302
G66023,D30104
G66023,D30402
G126018,D30202
G62025,D30714
G150344,D10102
G150344,D10105
G127247,D30102
G127247,D30103
G127247,D30305
G129140,D30201
G129140,D30207
G33914,D30405
G168535,D10404
G161975,D10301
G161975,D10404
G133988,D20301
G133988,D20303
G133988,D20304
G109511,D20304
G3308,D20405
G177408,D10302
G177408,D10601
G8590,D30302
G8590,D30708
G204577,D10203
G100056,D10102
G144975,D10104
G144975,D10105
G144975,D20506
G160015,D20301
G160015,D20304
G160015,D20405
G160015,D20502
G160015,D20505
G6113,D30714
G112319,D30103
G5867,D30101
G168944,D10502
G7375,D30805
G62402,D10404
G197511,D10204
G197511,D10207
G206101,D30104
G190920,D30102
G126639,D20301
G126639,D20303
G126639,D20402
G42821,D30812
G100626,D10101
G116918,D10301
G66281,D10205
G147493,D20505
G161997,D10201
G102589,D10405
G110383,D20502
G39149,D20506
G145239,D10205
G156204,D10201
G169231,D30402
G169231,D30702
G169231,D30714
G147524,D10301
G65596,D20509
G4334,D20409
G52091,D30401
G9562,D30906
G54184,D30302
G150985,D20200
G44032,D20300
G127788,D10502
G5463,D20802
G181529,D30105
G181529,D30108
G46932,D20506
G40217,D10102
G4917,D20304
G38072,D10303
G123429,D30403
G206098,D30304
G126451,D20304
G126451,D20505
G29259,D10000
G124745,D30403
G29212,D30102
G27222,D30717
G27222,D30718
G150433,D10201
G66562,D30907
G195487,D10301
G195487,D10302
G25883,D30105
G127176,D10101
G127176,D10603
G6511,D30102
G6511,D30104
G103163,D20301
G59558,D20100
G133367,D20100
G133367,D20506
G114998,D10101
G114998,D10102
G133184,D10101
G133184,D10102
G175525,D20506
G202756,D30102
G202756,D30302
G202756,D30710
G1030,D10501
G5070,D20409
G5070,D20511
G126886,D10203
G189927,D30101
G189927,D30102
G189927,D30103
G189927,D30104
G189927,D30105
G189927,D30107
G189927,D30108
G189927,D30201
G189927,D30205
G189927,D30301
G189927,D30302
G189927,D30306
G189927,D30307
G189927,D30402
G189927,D30403
G117600,D10102
G2970,D20404
G133730,D30719
G133730,D30720
G27966,D20304
G105091,D20506
G57866,D20303
G27965,D20404
G190759,D10501
G112036,D20100
G178683,D10403
G178683,D10404
G134164,D30101
G134164,D30102
G134164,D30103
G134164,D30104
G134704,D10206
G201149,D30104
G201149,D30201
G121129,D10301
G37451,D20506
G127516,D30403
G130188,D20200
G145869,D30102
G145869,D30104
G145869,D30207
G130234,D30104
G130234,D30207
G141007,D30102
G141007,D30302
G62465,D10403
G194646,D10104
G45791,D20506
G163632,D10301
G194628,D20801
G194628,D20804
G109074,D10201
G137831,D20506
G137831,D20511
G109454,D30103
G109454,D30104
G42387,D30302
G42387,D30708
G201996,D20301
G203746,D20100
G41213,D20304
G150784,D20303
G150784,D20404
G205052,D10607
G188277,D30101
G188277,D30103
G203170,D30701
G203170,D30702
G203170,D30911
G123050,D20100
G103544,D20303
G107862,D10205
G203081,D30104
G203081,D30201
G7443,D30101
G112972,D10202
G112972,D10204
G45569,D30102
G183305,D20301
G165455,D10501
G54704,D10101
G165943,D10203
G108411,D30102
G108411,D30103
G108411,D30104
G108411,D30105
G201113,D10105
G201113,D30909
G67996,D20506
G120156,D20704
G185560,D20506
G112712,D30101
G112712,D30102
G112712,D30103
G143352,D10404
G192496,D30104
G192496,D30304
G141262,D30201
G3658,D20404
G124747,D30104
G5770,D30207
G116334,D20301
G64249,D10203
G102151,D30105
G102151,D30401
G147795,D10405
G116742,D20506
G41280,D10000
G142921,D20705
G142921,D20709
G131171,D30104
G131171,D30207
G193731,D20502
G193731,D20505
G101788,D20709
G57081,D20501
G8245,D30713
G8245,D30719
G65302,D10206
G163504,D30101
G163504,D30102
G163504,D30201
G199273,D10105
G199643,D30102
G170629,D30101
G170629,D30103
G170629,D30104
G26290,D30402
G148169,D30302
G200903,D30714
G139220,D20507
G139220,D30101
G139220,D30102
G139220,D30104
G139220,D30401
G139220,D30403
G121222,D10104
G43522,D10202
G167068,D20701
G167068,D20705
G167068,D30102
G167068,D30107
G167068,D30201
G167068,D30205
G167068,D30206
G167068,D30207
G167068,D30307
G58445,D10203
G153062,D30304
G153062,D30402
G138054,D20506
G43347,D20304
G180467,D10104
G133872,D10201
G133872,D10202
G133872,D10203
G196197,D30808
G196197,D30812
G139695,D30305
G139695,D30403
G111731,D20303
G57532,D20300
G159914,D20501
G34109,D20802
G116819,D30304
G116819,D30707
G112599,D30302
G112599,D30708
G124628,D20303
G27803,D10105
G64395,D10202
G105016,D20801
G105016,D20803
G105016,D20806
G133002,D10203
G188660,D20703
G149512,D30101
G149512,D30102
G149512,D30104
G149512,D30107
G149512,D30207
G131830,D20401
G129668,D30302
G129668,D30402
G129668,D30717
G172471,D10203
G172471,D10205
G172471,D20505
G172471,D20709
G50250,D30201
G137477,D10102
G137477,D10201
G137477,D10301
G137477,D10503
G53403,D20506
G33150,D20700
G9282,D30911
G5073,D20401
G50675,D20303
G188974,D30302
G138065,D30101
G138065,D30102
G138065,D30105
G138065,D30403
G156460,D30302
G156460,D30402
G155627,D10205
G155627,D10301
G275,D10104
G52419,D20508
G2564,D20404
