GrantNumber,DisciplineNumber
G101974,D20709
G171683,D20701
G171683,D30206
G26139,D30108
G50212,D10404
G117535,D10201
G117535,D10206
G25925,D10105
G125721,D10404
G125721,D10407
G101469,D20100
G67870,D10204
G185975,D20403
G58657,D30713
G20668,D10205
G162093,D30104
G39688,D30102
G194988,D30202
G57119,D20503
G159931,D20409
G54309,D10000
G126957,D20409
G126957,D30108
G5306,D20504
G44813,D30401
G107885,D20511
G176944,D30701
G176944,D30808
G140300,D20200
G125087,D20404
G140484,D10301
G140484,D10403
G178109,D10607
G178109,D30108
G120001,D20801
G128824,D30101
G128824,D30103
G128824,D30104
G128824,D30105
G128824,D30107
G128824,D30108
G128824,D30201
G128824,D30202
G128824,D30205
G128824,D30206
G128824,D30302
G128824,D30303
G128824,D30304
G128824,D30305
G128824,D30306
G128824,D30307
G128824,D30401
G128824,D30402
G128824,D30403
G128824,D30705
G115705,D30101
G115705,D30102
G115705,D30107
G102034,D20504
G159938,D20704
G63469,D30102
G130998,D10104
G40619,D10401
G32044,D10206
G168500,D10201
G168500,D10205
G168500,D10301
G157468,D30102
G157468,D30103
G157468,D30401
G28730,D20404
G109514,D20803
G181550,D10301
G111738,D20301
G189492,D20100
G43401,D30403
G200117,D10105
G200117,D10207
G38322,D10207
G128124,D30103
G128124,D30302
G128124,D30303
G126447,D10502
G184179,D20506
G184179,D20511
G123226,D30307
G29857,D30401
G29857,D30703
G128658,D30103
G111705,D20401
G40742,D20100
G151591,D30101
G151591,D30108
G110505,D10401
G110505,D10402
G25610,D20506
G161970,D30202
G64571,D20801
G9129,D30201
G59267,D30104
G59267,D30708
G184718,D30101
G184718,D30102
G186531,D20705
G186531,D30206
G186531,D30207
G186531,D30307
G160653,D10201
G160653,D10202
G160653,D10203
G160653,D10204
G111381,D30302
G62598,D10101
G102683,D10202
G58940,D20301
G61572,D30201
G61572,D30207
G164990,D30104
G164990,D30202
G164990,D30207
G113492,D30108
G113492,D30708
G113492,D30715
G65854,D10102
G138832,D10301
G138832,D10302
G63374,D20303
G111454,D30105
G142929,D30103
G175716,D20704
G175716,D20709
G175716,D20809
G4992,D20100
G125816,D10202
G143584,D30401
G143584,D30703
G112746,D10204
G53911,D20301
G120429,D10407
G32071,D30101
G30917,D20503
G35170,D20709
G122856,D20100
G162661,D10105
G107481,D20200
G189400,D10105
G185263,D30701
G185263,D30808
G40604,D30305
G40604,D30402
G150386,D10104
G150386,D10601
G184052,D30202
G184052,D30207
G153460,D20701
G153460,D30207
G20097,D20100
G52959,D30303
G115933,D10105
G115933,D30702
G115933,D30707
G131133,D20304
G205329,D30302
G63575,D20505
G204290,D10604
G204290,D30905
G46697,D30105
G186573,D30101
G186573,D30102
G186573,D30103
G186573,D30104
G190429,D10202
G190429,D10203
G190429,D10207
G2534,D20303
G157665,D20301
G157665,D30102
G157665,D30108
G64224,D20304
G201758,D10202
G153828,D10101
G153828,D10104
G153828,D10201
G153828,D10202
G153828,D10205
G153828,D20709
G153828,D30206
G108321,D30302
G40446,D20404
G167090,D30102
G167090,D30206
G173892,D10105
G173892,D10503
G67428,D20200
G169783,D10105
G169783,D30708
G118349,D30103
G118349,D30303
G152173,D30102
G152173,D30103
G152173,D30302
G152173,D30306
G206792,D10201
G206792,D10204
G43035,D30105
G40807,D30101
G110881,D10105
G110881,D10201
G129972,D20100
G135623,D30107
G52831,D10204
G151965,D20504
G151965,D20508
G3946,D20406
G67861,D10502
G147024,D10405
G37545,D10503
G151488,D30302
G151488,D30403
G158603,D10203
G130901,D10101
G130901,D10201
G62027,D30108
G207343,D20100
G207343,D20506
G170216,D30102
G150188,D20301
G150188,D20304
G142821,D20404
G197973,D10104
G197973,D10601
G39266,D10201
G40749,D30103
G40599,D20505
G37404,D10501
G4291,D20303
G207818,D10201
G207818,D10301
G101940,D20404
G53678,D10407
G159597,D30103
G159597,D30403
G127691,D10105
G128907,D10104
G128907,D10201
G544,D10104
G201887,D30701
G179064,D20508
G179064,D20511
G178399,D10101
G178399,D10202
G129430,D30207
G41740,D10205
G4340,D20505
G8391,D30104
G152982,D30201
G184528,D20506
G49375,D20506
G2389,D10302
G177174,D10101
G177174,D10202
G177174,D10301
G177174,D10503
G122435,D10105
G105464,D20200
G6874,D30707
G6874,D30718
G122439,D30701
G155623,D30302
G202519,D30802
G29974,D30401
G109312,D30101
G109312,D30102
G203263,D10201
G203263,D10202
G203263,D10205
G203263,D10206
G203263,D10403
G185523,D10104
G185523,D10201
G3869,D20304
G104,D10205
G108940,D30302
G110374,D20503
G110374,D20509
G110374,D20701
G110374,D20705
G110374,D20801
G110374,D20809
G139300,D10201
G186628,D10202
G32755,D10406
G6703,D30108
G189474,D20506
G105865,D30718
G32531,D20511
G32567,D30206
G175578,D20100
G15340,D10102
G119681,D30202
G119681,D30207
G28024,D10502
G181198,D20403
G8520,D30202
G150007,D20505
G64613,D10501
G168266,D10202
G168266,D10206
G168266,D10403
G134560,D10404
G65025,D20804
G103847,D20506
G126766,D10105
G139921,D30101
G139921,D30102
G139921,D30104
G139921,D30201
G139921,D30205
G139921,D30206
G139921,D30207
G100024,D20801
